ML1,ML2,ML3,banco
-0.0778625661503577,0.016745973295043366,-1.413155055802465e-4,CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE
-0.08507669409523341,0.021105167189149843,0.11848742833452149,COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS
1.1067776423674143,-0.9394553594981463,1.38490934541931,BCO DO EST. DO PA S.A. - PRUDENCIAL
-0.06989962102503902,0.06439708459507604,-0.2955472141225919,CREDIT AGRICOLE - PRUDENCIAL
-0.174923479516766,0.2806542282649692,-0.35080302687854065,VOLVO - PRUDENCIAL
-0.0756026545236378,0.12337713293913267,-0.8483085478471798,SCANIA - PRUDENCIAL
-0.1606990237034314,0.2024260825606923,0.12536711435203268,COOPERATIVA DE CREDITO CREDICITRUS
-0.06988795366055298,0.017717273570947597,0.32818947543096205,SCOTIABANK BRASIL - PRUDENCIAL
-0.16530357742291305,0.23714500188665566,-0.2056742901524832,GM - PRUDENCIAL
-0.19033204821296154,0.269097687557323,0.4291835895895851,HONDA - PRUDENCIAL
-0.07829777710442877,0.02992176318421612,-0.017686439276575785,MIZUHO - PRUDENCIAL
-0.07134357609904303,0.01758800615438201,0.12291059068979475,DEUTSCHE - PRUDENCIAL
-0.2704066883713801,0.36635410517377603,0.4682338340109878,COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI
-0.025568692254109085,0.020432374657844223,-0.8384297525126541,BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL
-0.03580233491471494,-0.05644005496874615,-0.02298487459601081,BR PARTNERS - PRUDENCIAL
-0.08161232978556415,8.215502700956391e-5,0.09141834154966322,COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO
-0.08386926903357822,0.004128319691826728,0.09010204802078431,COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER
-0.08707693848054958,0.05183827741606822,-0.09374332818188551,BANCO HSBC - PRUDENCIAL
-0.053272447055792684,-0.045944601511801034,0.0057380609670388185,COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL
-0.07270547980969358,0.009832211440468851,0.06654133702696487,BCO MUFG BRASIL S.A. - PRUDENCIAL
0.43477786043140504,-0.4543619061297152,0.5056878583003578,BCO DO EST. DE SE S.A. - PRUDENCIAL
