PC1,PC2,PC3,banco
-0.4399631047881141,-2.644050146595665,-1.396561054008603,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS"
-0.48374170748859635,0.3335966754822462,0.2965368201385821,BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL
0.02878925919061157,0.16122832019394057,0.27637107867968674,COOPERATIVA CENTRAL DE CRÉDITO - AILOS
0.013379100284031458,0.26840107561075754,0.3231293512272043,COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES
-0.537362749831943,-0.38969795016563646,-0.24770885353005737,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT"
-0.4372703634534676,-0.0809130799749147,0.2794740434775787,PARANÁ BANCO - PRUDENCIAL
-0.31259736581001013,-1.3034144487460975,-1.163744909924966,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP"
-1.1801425030421582,0.15924877744753735,-0.7074980002354773,APE POUPEX - PRUDENCIAL
-0.5883383100583379,-0.2808005865376759,-0.37279690997323534,COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO
-0.44060620249872406,0.5268551743435637,0.29235234063430166,BCO INBURSA S.A. - PRUDENCIAL
-0.47619488382230096,-2.2793294263132147,-1.147912086793378,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ"
-0.029009771820872166,0.5453809273614381,0.31858739647281703,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE"
-0.3370509962757324,-0.68471282067408,-0.4286017375027072,COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES
-0.30744248163015653,-0.8284166130661869,-0.43149197621923807,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS E GRANDE CURITIBA - SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP"
-0.28299811940799935,-0.7893397190552681,-0.5148552447664569,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS"
-0.04249350132924182,0.5436641930447715,0.2660531289565211,BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL
-0.38570488470930153,-1.3276708132596142,-1.2166235497887166,COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO
-0.3766976446056048,-1.4630529709859361,-1.3580479996772838,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.
